datetime,Tested_negative,Cases_Positive,Unknown source,Active Cases,Recovered,Hospital,ICU,Deaths,Diamond Princess,New Cases,Artania Total,Artania Deaths,total_tests,Al Kuwait Total,Al Kuwait Active
29-Feb-20,,2,,,,,,,2,2,,,,,
1-Mar-20,,2,,,,,,1,2,0,,,,,
2-Mar-20,,2,,,,,,1,2,0,,,,,
3-Mar-20,,2,,,,,,1,2,0,,,,,
4-Mar-20,,2,,,,,,1,2,0,,,,,
5-Mar-20,836,3,0,,,,,1,2,1,,,839,,
6-Mar-20,1110,3,0,,,,,1,2,0,,,1113,,
7-Mar-20,1454,3,0,,,,,1,2,0,,,1457,,
8-Mar-20,1665,4,0,,,,,1,2,1,,,1669,,
9-Mar-20,1796,6,0,4,1,,,1,2,2,,,1802,,
10-Mar-20,1874,6,0,4,1,,,1,2,0,,,1880,,
11-Mar-20,2014,9,0,7,1,,,1,2,3,,,2023,,
12-Mar-20,2188,9,0,7,1,,,1,2,0,,,2197,,
13-Mar-20,3788,14,0,12,1,,,1,2,5,,,3802,,
14-Mar-20,4806,17,0,15,1,,,1,2,3,,,4823,,
15-Mar-20,5424,18,0,16,1,,,1,2,1,,,5442,,
16-Mar-20,5878,28,0,26,1,,,1,2,10,,,5906,,
17-Mar-20,6582,31,0,29,1,,,1,2,3,,,6613,,
18-Mar-20,7039,35,0,33,1,,,1,2,4,,,7074,,
19-Mar-20,7956,52,0,50,1,,,1,2,17,,,8008,,
20-Mar-20,8539,64,0,62,1,,,1,2,12,,,8603,,
21-Mar-20,9130,90,0,88,1,,,1,2,26,,,9220,,
22-Mar-20,9498,120,0,118,1,,,1,,30,,,9618,,
23-Mar-20,9948,140,2,133,6,,,1,,20,,,10088,,
24-Mar-20,10353,175,2,168,6,,,1,,35,,,10528,,
25-Mar-20,10783,205,2,198,6,,,1,,30,,,10988,,
26-Mar-20,11288,231,3,206,23,,,2,,26,,,11519,,
27-Mar-20,11836,255,4,225,28,,,2,,24,,,12091,,
28-Mar-20,12693,278,4,248,28,,,2,,23,9,,12971,,
29-Mar-20,13337,311,5,281,28,,,2,,33,12,,13648,,
30-Mar-20,13833,355,8,312,41,,,2,,44,39,,14188,,
31-Mar-20,14340,364,8,305,48,,,2,,9,39,,14704,,
1-Apr-20,15130,392,8,326,64,,,2,,28,39,0,15522,,
2-Apr-20,15790,400,9,306,92,,,2,,8,39,0,16190,,
3-Apr-20,16022,422,9,327,92,,,3,,22,48,1,16444,,
4-Apr-20,16815,436,6,341,92,,,3,,14,53,1,17251,,
5-Apr-20,17744,453,6,302,148,,,3,,17,53,1,18197,,
6-Apr-20,18266,460,10,294,162,,,4,,7,54,1,18726,,
7-Apr-20,18731,470,12,294,170,,,6,,10,54,2,19201,,
8-Apr-20,19615,481,12,305,170,,,6,,11,57,2,20096,,
9-Apr-20,20217,495,13,302,187,,,6,,14,61,2,20712,,
10-Apr-20,20638,506,13,297,203,,,6,,11,65,2,21144,,
11-Apr-20,21591,514,13,292,216,,,6,,8,68,2,22105,,
12-Apr-20,22601,517,13,272,239,,,6,,3,68,2,23118,,
13-Apr-20,23412,523,13,266,251,,,6,,6,72,2,23935,,
14-Apr-20,23870,527,14,225,296,,,6,,4,75,3,24397,,
15-Apr-20,24081,532,14,188,338,,,6,,5,76,2,24613,,
16-Apr-20,25088,535,14,189,340,,,6,,3,77,2,25623,,
17-Apr-20,25684,541,14,157,377,,,7,,3,79,3,26225,,
18-Apr-20,26631,544,14,149,388,,,7,,3,81,3,27175,,
19-Apr-20,28343,545,14,112,426,,,7,,1,81,3,28888,,
20-Apr-20,28924,545,15,103,435,,,7,,0,81,3,29469,,
21-Apr-20,29566,546,15,96,443,,,7,,1,81,3,30112,,
22-Apr-20,30594,546,15,88,451,,,7,,0,81,3,31140,,
23-Apr-20,31604,546,16,81,458,,,7,,0,81,3,32150,,
24-Apr-20,32590,548,16,76,464,,,8,,2,81,3,33138,,
25-Apr-20,33650,549,16,63,478,,,8,,1,81,4,34199,,
26-Apr-20,34256,549,16,55,486,,,8,,0,81,4,34805,,
27-Apr-20,34842,549,16,55,486,,,8,,0,81,4,35391,,
28-Apr-20,35155,550,16,47,495,,,8,,1,81,4,35705,,
29-Apr-20,35980,551,16,43,500,,,8,,1,81,4,36531,,
30-Apr-20,37251,551,16,36,507,,,8,,0,81,4,37802,,
1-May-20,41241,551,16,32,511,,,8,,0,81,4,41792,,
2-May-20,44681,551,16,23,520,,,8,,0,81,4,44681,,
3-May-20,46167,551,17,19,523,,,9,,0,81,4,46718,,
4-May-20,47029,551,17,15,527,,,9,,0,81,4,47580,,
5-May-20,,551,17,14,528,7,3,9,,0,81,4,48153,,
6-May-20,,551,17,14,528,7,3,9,,0,81,4,49892,,
7-May-20,,551,17,11,531,6,3,9,,0,81,4,51352,,
8-May-20,,552,17,9,534,4,1,9,,1,81,4,52825,,
9-May-20,,552,17,7,536,4,1,9,,0,81,4,54563,,
10-May-20,,552,17,7,536,4,1,9,,0,81,4,55758,,
11-May-20,,552,17,7,536,4,1,9,,0,81,4,56098,,
12-May-20,,553,16,7,537,2,1,9,,1,81,4,56226,,
13-May-20,,553,16,6,538,1,1,9,,0,81,4,58634,,
14-May-20,,554,16,7,538,1,1,9,,1,81,4,61267,,
15-May-20,,554,16,7,538,0,0,9,,0,81,4,63248,,
16-May-20,,556,16,6,541,1,0,9,,0,81,4,64646,,
17-May-20,,557,16,5,543,1,0,9,,0,81,4,65698,,
18-May-20,,557,16,3,545,1,0,9,,0,81,4,66539,,
19-May-20,,557,16,3,545,1,0,9,,0,81,4,67649,,
20-May-20,,557,16,3,545,0,0,9,,0,81,4,69644,,
21-May-20,,557,16,3,545,0,0,9,,0,81,4,71642,,
22-May-20,,557,16,3,545,0,0,9,,0,81,4,73306,,
23-May-20,,560,16,2,549,0,0,9,,0,81,4,75484,,
24-May-20,,560,16,2,549,0,0,9,,0,81,4,76644,,
25-May-20,,564,16,6,549,0,0,9,,4,81,4,77501,,
26-May-20,,570,16,12,549,0,0,9,,6,81,4,78308,,
27-May-20,,570,16,12,549,0,0,9,,0,81,4,80166,,
28-May-20,,577,16,18,550,0,0,9,,7,81,4,83318,,
29-May-20,,585,16,25,551,0,0,9,,8,81,4,85738,,
30-May-20,,586,16,25,552,0,0,9,,0,81,4,89202,,
31-May-20,,589,16,28,552,1,0,9,,3,81,4,91530,,
1-Jun-20,,591,16,29,553,1,0,9,,1,81,4,94001,,
2-Jun-20,,591,16,29,553,2,0,9,,0,81,4,94948,,
3-Jun-20,,592,15,26,557,1,0,9,,1,81,4,97912,,
4-Jun-20,,592,15,26,557,1,0,9,,0,81,4,102091,,
5-Jun-20,,596,15,30,557,0,0,9,,4,81,4,107811,,
6-Jun-20,,599,15,31,559,0,0,9,,1,81,4,112110,,
7-Jun-20,,599,15,31,559,0,0,9,,0,81,4,115507,,
8-Jun-20,,599,15,31,559,0,0,9,,0,81,4,118497,,
9-Jun-20,,599,15,30,560,0,0,9,,0,81,4,122387,21,20
10-Jun-20,,601,16,28,564,0,0,9,,0,81,4,126700,21,20
11-Jun-20,,601,16,21,572,0,0,9,,0,81,4,133277,21,13
12-Jun-20,,602,16,18,575,0,0,9,,1,81,4,134491,21,13
13-Jun-20,,602,16,18,575,0,0,9,,0,81,4,140106,21,13
14-Jun-20,,602,15,11,575,0,0,9,,0,81,4,141905,21,6
15-Jun-20,,602,15,0,582,0,0,9,,0,81,4,143418,21,0
16-Jun-20,,602,15,2,591,0,0,9,,0,81,4,143418,21,0
17-Jun-20,,602,16,1,592,0,0,9,,0,81,4,148820,21,0
18-Jun-20,,603,16,2,592,0,0,9,,1,81,4,152603,21,0
19-Jun-20,,603,16,2,592,0,0,9,,0,81,4,155815,21,0
20-Jun-20,,604,16,2,593,0,0,9,,0,81,4,158762,21,0
21-Jun-20,,605,16,3,595,0,0,9,,1,81,4,165265,21,0
22-Jun-20,,605,16,3,595,0,0,9,,0,81,4,162065,21,0
23-Jun-20,,607,16,4,595,0,0,9,,2,81,4,164147,21,0
24-Jun-20,,607,16,4,595,0,0,9,,0,81,4,167201,21,0
25-Jun-20,,608,16,4,595,0,0,9,,0,81,4,171195,21,0
26-Jun-20,,608,16,4,595,0,0,9,,0,81,4,174330,21,0
27-Jun-20,,608,16,4,595,0,0,9,,0,81,4,174330,21,0
28-Jun-20,,609,16,5,595,0,0,9,,1,81,4,174330,21,0
29-Jun-20,,609,16,4,596,0,0,9,,0,81,4,179326,21,0
30-Jun-20,,611,16,4,598,0,0,9,,2,81,4,182513,21,0
1-Jul-20,,611,16,4,598,0,0,9,,0,81,4,185850,21,0
2-Jul-20,,611,16,4,598,0,0,9,,0,81,4,188953,21,0
3-Jul-20,,611,16,4,598,0,0,9,,0,81,4,191213,21,0
4-Jul-20,,611,16,3,598,0,0,9,,0,81,4,191213,21,0
5-Jul-20,,617,16,9,598,0,0,9,,6,81,4,191213,21,0
6-Jul-20,,621,16,12,621,0,0,9,,3,81,4,196108,21,0
7-Jul-20,,621,16,12,600,0,0,9,,0,81,4,197884,21,0
8-Jul-20,,624,16,13,602,0,0,9,,2,81,4,200887,21,0
9-Jul-20,,627,16,16,602,0,0,9,,3,81,4,203091,21,0
10-Jul-20,,630,15,19,602,0,0,9,,3,81,4,204929,21,0
11-Jul-20,,632,15,21,602,0,0,9,,2,81,4,204929,21,0
12-Jul-20,,633,15,22,602,0,0,9,,1,81,4,204929,21,0
